"ID","m/z","Yellow_10.csv","Yellow_16.csv","Yellow_17.csv","Yellow_18.csv","Yellow_19.csv","Yellow_1.csv","Yellow_20.csv","Presence Percentage","PubChem","LM_ID","CAS_inf","MetSign_ID","hm_ID","Name_ID","Keg_ID","label_information"
1,425.1376,22022.951,11832.2788,9943.7098,10226.1947,10820.3273,5025.6626,5923.5734,100,"Unknown,12730;Unknown","LMPK12020216,Unknown;LMPK12050212","Unknown,23284-23-3;Unknown","C22H26O6-[M+K+]-{m+0}(0.99148)(Niso-2);C25H22O5-[M+Na+]-{m+0}(0.96646)(Niso-1)","Unknown,Unknown;Unknown","3,5-Di-O-methyl-8-prenylafzelechin-4beta-ol*,*Burseran*;*Ulexone B","Unknown,C10547;Unknown","N"
2,425.1586,3310.89,4229.0529,1983.2665,2906.6061,3049.3551,910.0127,818.3342,100,"Unknown;Unknown","LMPK12070121;LMPK12060022","Unknown;Unknown","C22H26O7-[M+Na+]-{m+0}(0.97421)(Niso-1);C24H24O7-[M+H+]-{m+0}(0.9693)(Niso-1)","Unknown;Unknown","(6aS,11aS)-3,6a-Dihydroxy-8,9-dimethoxy-10-(3-hydroxy-3-methylbutyl)pterocarpan*;*(+)-2,3,10-Trimethoxy-6'',6''-dimethylpyrano[2'',3'':9,8]rotenone","Unknown;Unknown","N"
5,429.2263,11477.6398,4910.4411,4790.1063,4778.4282,5954.3092,3410.8913,4058.7773,100,"Unknown;Unknown","LMSP02050000;LMST01120002","Unknown;Unknown","C19H37N1O6P1-[M+Na+]-{m+0}(0.97979)(Niso-1);C23H34O6-[M+Na+]-{m+0}(0.97146)(Niso-1)","Unknown;Unknown","N-(acyl)-sphing-4-enine-1-phosphate*;*3beta,12beta,14,16beta-tetrahydroxy-5beta-card-20(22)-enolide","C02960;Unknown","N"
7,429.2338,23607.8626,11272.3488,12068.5442,11381.4248,14064.9957,8808.9249,9105.4382,100,9026,"Unknown","2751-68-0","C23H29N3O2S1-[M+NH4+]-{m+0}(0.97087)(Niso-1)","Unknown","Acetophenazine","C06807","N"
10,429.2412,1761112.538,885198.5636,988675.7691,892477.7486,1171738.614,792103.9155,666268.8205,100,"12073949;12073949;3080612,6464,Unknown;10355;9672","Unknown;Unknown;Unknown,Unknown,LMST04010146;Unknown;Unknown","Unknown;Unknown;5130-29-0,117-81-7,Unknown;62-90-8;138402-11-6","C24H37O4-[M+K+]-2H-1-{m+0}(0.97518)(Niso-4);C24H37O4-[M+K+]-{m+0}(0.96945)(Niso-2);C24H38O4-[M+K+]-{m+0}(0.96942)(Niso-2);C27H34O3-[M+Na+]-{m+0}(0.96019)(Niso-1);C25H28N6O1-[M+H+]-{m+0}(0.95997)(Niso-1)","HMDB12866;HMDB12866;HMDB00328,Unknown,Unknown;Unknown;Unknown","9'-Carboxy-alpha-chromanol*;*9'-Carboxy-alpha-chromanol*;*12-Ketodeoxycholic acid*,*Bis(2-ethylhexyl)phthalate*,*3alpha-Hydroxy-6-oxo-5beta-cholan-24-oic Acid*;*Nandrolonephenpropionate*;*Irbesartan","Unknown;Unknown;Unknown,C03690,Unknown;C08155;C07469","2H_1"
11,429.2487,27950.2964,13301.4685,14616.1502,13833.0015,17066.5218,11780.7752,11312.3885,100,12197,"Unknown","58775-98-7","C23H32N4O4-[M+H+]-{m+0}(0.99121)(Niso-2)","Unknown","NummularineF","C10011","N"
14,430.245,337717.5436,120359.7308,144459.8963,115634.4372,180026.3604,105206.8465,96480.7365,100,"Unknown;12073949;3080612,6464,Unknown;10355;9672","LMGP02010104;Unknown;Unknown,Unknown,LMST04010146;Unknown;Unknown","Unknown;Unknown;5130-29-0,117-81-7,Unknown;62-90-8;138402-11-6","C17H34N1O8P1-[M+NH4+]-2H-1-{m+0}(0.98403)(Niso-2);C24H37O4-[M+K+]-2H-2-{m+0}(0.97938)(Niso-2);C24H38O4-[M+K+]-2H-1-{m+0}(0.97937)(Niso-2);C27H34O3-[M+Na+]-2H-1-{m+0}(0.96674)(Niso-2);C25H28N6O1-[M+H+]-2H-1-{m+0}(0.9665)(Niso-2)","Unknown;HMDB12866;HMDB00328,Unknown,Unknown;Unknown;Unknown","1,2-dihexanoyl-sn-glycero-3-phosphoethanolamine*;*9'-Carboxy-alpha-chromanol*;*12-Ketodeoxycholic acid*,*Bis(2-ethylhexyl)phthalate*,*3alpha-Hydroxy-6-oxo-5beta-cholan-24-oic Acid*;*Nandrolonephenpropionate*;*Irbesartan","Unknown;Unknown;Unknown,C03690,Unknown;C08155;C07469","2H_1"
18,431.2398,31090.4744,13502.3028,13152.4298,11730.6492,17996.3527,10087.0699,10761.5327,100,"Unknown;Unknown;Unknown,11255","LMSP02050000;LMST01120007;LMFA03010201,Unknown","Unknown;Unknown;Unknown,23984-18-1","C19H37N1O6P1-[M+Na+]-2H-2-{m+0}(0.99952)(Niso-2);C23H34O6-[M+Na+]-2H-2-{m+0}(0.99925)(Niso-2);C23H36O6-[M+Na+]-{m+0}(0.99924)(Niso-2)","Unknown;Unknown;Unknown,Unknown","N-(acyl)-sphing-4-enine-1-phosphate*;*3beta,5,12beta,14-tetrahydroxy-5beta-card-20(22)-enolide*;*methyl 9-oxo-11R-hydroxy-15R-acetoxy-5Z,13E-prostadienoate*,*AsebotoxinII","C02960;Unknown;Unknown,C09063","2H_2"
25,437.1848,4384.1688,3483.2995,2835.3193,3415.0308,1855.3755,1104.0305,2044.7559,100,"DBLINKS5644;Unknown","Unknown;Unknown","Unknown;111555-53-4","C23H30N2O4-[M+K+]-{m+0}(0.9696)(Niso-1);C26H26N2O3-[M+Na+]-{m+0}(0.96137)(Niso-1)","Unknown;Unknown","Desacetoxyvindoline*;*Naltrindole","C02673;C18128","N"
27,437.1945,2232361.023,2084370.631,1810733.982,2107350.38,1498933.389,897798.4321,1173326.054,100,"12841;Unknown","Unknown;LMPK12020174","86702-02-5;Unknown","C24H30O6-[M+Na+]-{m+0}(0.97055)(Niso-2);C26H28O6-[M+H+]-{m+0}(0.96366)(Niso-1)","Unknown;Unknown","Magnoshinin*;*4,6'-Epoxyorotiniflavan-4-ol","C10658;Unknown","N"
30,437.2023,35020.959,33321.4645,27294.4279,33593.4449,21935.5798,15955.7688,20310.5621,100,"DBLINKS8680;Unknown","Unknown;LMST03020008","Unknown;Unknown","C20H25N3O7-[M+NH4+]-{m+0}(0.99763)(Niso-2);C22H32O4S1-[M+K+]-2H-6-{m+0}(0.97991)(Niso-3)","Unknown;Unknown","2-N,6-N-Bis(2,3-dihydroxy-N-benzoyl)-L-serineamide*;*(7E)-(3S,6RS)-3-hydroxy-6,19-epithio-23,24-dinor-9,10-seco-5(10),7-choladien-22-al S,S-dioxide","C06447;Unknown","2H_6"
37,438.1983,434813.5381,421720.2605,328723.3114,404386.3532,240574.1692,114780.388,210603.5174,100,"DBLINKS13810,Unknown;12841","Unknown,LMPR0102070018;Unknown","Unknown,Unknown;86702-02-5","C18H28O11-[M+NH4+]-{m+0}(0.98522)(Niso-2);C24H30O6-[M+Na+]-2H-1-{m+0}(0.97516)(Niso-2)","Unknown,Unknown;Unknown","Lamioside*,*Lamioside*;*Magnoshinin","C11645,C11645;C10658","2H_1"
42,439.1996,5679.3848,4758.8582,3707.5538,4591.6262,7580.6498,1424.6209,6781.9112,100,"13340;Unknown,12292;Unknown","Unknown;LMPK12020012,Unknown;Unknown","123948-87-8;Unknown,62596-29-6;147511-69-1","C23H23N3O5-[M+NH4+]-{m+0}(0.96903)(Niso-1);C25H24O6-[M+NH4+]-2H-1-{m+0}(0.96552)(Niso-1);C25H23F1N1O4-[M+NH4+]-2H-1-{m+0}(0.96435)(Niso-1)","Unknown;Unknown,Unknown;Unknown","Topotecan*;*Shanciol*,*Morusin*;*Pitavastatin","C11158;Unknown,C10106;C13334","2H_1"
56,453.1665,10909.023,8282.5923,6235.3054,7014.3731,5054.476,114122.3226,219663.4729,100,"12841;DBLINKS17396024;13890","Unknown;Unknown;Unknown","86702-02-5;Unknown;65617-86-9","C24H30O6-[M+K+]-{m+0}(0.99999)(Niso-3);C27H26O5-[M+Na+]-{m+0}(0.99998)(Niso-3);C22H27Cl1N4O3-[M+Na+]-{m+0}(0.84282)(Niso-1)","Unknown;Unknown;Unknown","Magnoshinin*;*2,2-Dimethyl-3,4-bis(4-methoxyphenyl)-2H-1-benzopyran-7-olacetate*;*Avizafone","C10658;C15027;C11725","N"
59,454.1725,46929.1474,31088.0137,20333.5562,28520.6267,20726.9953,10353.8575,16499.6907,100,"Unknown,4758;12841;DBLINKS17396024;13890","LMPK12020026,Unknown;Unknown;Unknown;Unknown","Unknown,60-81-1;86702-02-5;Unknown;65617-86-9","C21H24O10-[M+NH4+]-{m+0}(0.99914)(Niso-2);C24H30O6-[M+K+]-2H-1-{m+0}(0.99454)(Niso-2);C27H26O5-[M+Na+]-2H-1-{m+0}(0.96861)(Niso-2);C22H27Cl1N4O3-[M+Na+]-2H-1-{m+0}(0.84288)(Niso-1)","Unknown,Unknown;Unknown;Unknown;Unknown","Epiafzelechin 3-O-beta-D-allopyranoside*,*Phlorizin*;*Magnoshinin*;*2,2-Dimethyl-3,4-bis(4-methoxyphenyl)-2H-1-benzopyran-7-olacetate*;*Avizafone","Unknown,C01604;C10658;C15027;C11725","2H_1"
61,455.167,6793.8087,5112.1616,2717.7688,4002.2751,3497.7562,1421.8907,2467.5591,100,"Unknown,13067;9518","LMPK12112856,Unknown;Unknown","Unknown,77394-27-5;52-01-7","C23H26O8-[M+Na+]-2H-2-{m+0}(0.97195)(Niso-1);C24H32O4S1-[M+K+]-{m+0}(0.971)(Niso-1)","Unknown,Unknown;Unknown","Aliarin 4'-methyl ether*,*Sesartemin*;*Spironolactone","Unknown,C10884;C07310","2H_2"
74,518.3238,8449.9734,4612.3067,3560.6387,4549.4505,4955.5718,3475.5961,2210.8599,100,"Unknown,Unknown;Unknown,Unknown","Unknown,LMGP01020019;LMGP01050037,Unknown","Unknown,Unknown;Unknown,Unknown","C24H50N1O7P1-[M+Na+]-{m+0}(0.96768)(Niso-1);C26H48N1O7P1-[M+H+]-{m+0}(0.96221)(Niso-1)","HMDB10382,Unknown;Unknown,HMDB10387","LysoPC(16:0)*,*1-tetradecyl-2-acetyl-sn-glycero-3-phosphocholine*;*1-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine*,*LysoPC(18:3(6Z,9Z,12Z))","C04230,Unknown;Unknown,C04230","N"
84,546.3559,1826.6229,1964.3525,1526.4347,1495.2626,2170.739,1722.3775,1029.7999,100,"Unknown,Unknown;Unknown;Unknown","Unknown,LMGP01020046;Unknown;LMPK12120242","Unknown,Unknown;Unknown;Unknown","C26H54N1O7P1-[M+Na+]-{m+0}(0.96203)(Niso-1);C28H52N1O7P1-[M+H+]-{m+0}(0.95611)(Niso-1);C35H44O4-[M+NH4+]-{m+0}(0.93295)(Niso-1)","HMDB10384,Unknown;HMDB10393;Unknown","LysoPC(18:0)*,*1-hexadecyl-2-acetyl-sn-glycero-3-phosphocholine*;*LysoPC(20:3(5Z,8Z,11Z))*;*Neolinderachalcone","C04230,Unknown;C04230;Unknown","N"
94,581.3688,6336.3024,11052.7968,3517.242,1558.3022,36705.0368,589416.8077,4150.5988,100,11086,"Unknown","19316-94-0","C32H52O9-[M+H+]-{m+0}(0.94434)(Niso-1)","Unknown","ConvallasaponinA","C08893","N"
