"ID","m/z","Yellow_10_5x_2_420_1600_isotopomeric_score_annotated_1233-211210.csv","Yellow_16_5x_420_1600_isotopomeric_score_annotated_1418-211210.csv","Yellow_17_5x_420_1600_isotopomeric_score_annotated_1604-211210.csv","Yellow_18_5x_420_1600_isotopomeric_score_annotated_1743-211210.csv","Yellow_19_5x_420_1600_isotopomeric_score_annotated_1912-211210.csv","Yellow_1_5x_420-1600_isotopomeric_score_annotated_2006-211210.csv","Yellow_20_5x_420_1600_isotopomeric_score_annotated_2157-211210.csv","PubChem","LM_ID","CAS_inf","MetSign_ID","hm_ID","Name_ID","Keg_ID","label_information"
1,425.1376,22022.951,11832.2788,9943.7098,10226.1947,10820.3273,5025.6626,5923.5734,"Unknown,12730;Unknown","LMPK12020216,Unknown;LMPK12050212","Unknown,23284-23-3;Unknown","C22H26O6-[M+K+]-{m+0}(0.99148)(Niso-2);C25H22O5-[M+Na+]-{m+0}(0.96646)(Niso-1)","Unknown,Unknown;Unknown","3,5-Di-O-methyl-8-prenylafzelechin-4beta-ol*,*Burseran*;*Ulexone B","Unknown,C10547;Unknown","N"
2,425.1586,3310.89,4229.0529,1983.2665,2906.6061,3049.3551,910.0127,818.3342,"Unknown;Unknown","LMPK12070121;LMPK12060022","Unknown;Unknown","C22H26O7-[M+Na+]-{m+0}(0.97421)(Niso-1);C24H24O7-[M+H+]-{m+0}(0.9693)(Niso-1)","Unknown;Unknown","(6aS,11aS)-3,6a-Dihydroxy-8,9-dimethoxy-10-(3-hydroxy-3-methylbutyl)pterocarpan*;*(+)-2,3,10-Trimethoxy-6'',6''-dimethylpyrano[2'',3'':9,8]rotenone","Unknown;Unknown","N"
3,426.1408,2639.0521,1030.2372,0,0,0,0,0,"11203;Unknown,12730;Unknown","Unknown;LMPK12020216,Unknown;LMPK12050212","17226-75-4;Unknown,23284-23-3;Unknown","C19H20O10-[M+NH4+]-{m+0}(0.98123)(Niso-1);C22H26O6-[M+K+]-2H-1-{m+0}(0.97919)(Niso-1);C25H22O5-[M+Na+]-2H-1-{m+0}(0.96649)(Niso-1)","Unknown;Unknown,Unknown;Unknown","Khellolglucoside*;*3,5-Di-O-methyl-8-prenylafzelechin-4beta-ol*,*Burseran*;*Ulexone B","C09011;Unknown,C10547;Unknown","2H_1"
4,429.2245,2194.5291,0,0,0,0,0,651.6752,"Unknown;Unknown","LMSP02050000;LMST01120002","Unknown;Unknown","C19H37N1O6P1-[M+Na+]-{m+0}(0.97979)(Niso-1);C23H34O6-[M+Na+]-{m+0}(0.97146)(Niso-1)","Unknown;Unknown","N-(acyl)-sphing-4-enine-1-phosphate*;*3beta,12beta,14,16beta-tetrahydroxy-5beta-card-20(22)-enolide","C02960;Unknown","N"
5,429.2263,11477.6398,4910.4411,4790.1063,4778.4282,5954.3092,3410.8913,4058.7773,"Unknown;Unknown","LMSP02050000;LMST01120002","Unknown;Unknown","C19H37N1O6P1-[M+Na+]-{m+0}(0.97979)(Niso-1);C23H34O6-[M+Na+]-{m+0}(0.97146)(Niso-1)","Unknown;Unknown","N-(acyl)-sphing-4-enine-1-phosphate*;*3beta,12beta,14,16beta-tetrahydroxy-5beta-card-20(22)-enolide","C02960;Unknown","N"
6,429.2319,1425.3154,0,0,0,1055.1222,692.2345,0,9026,"Unknown","2751-68-0","C23H29N3O2S1-[M+NH4+]-{m+0}(0.97087)(Niso-1)","Unknown","Acetophenazine","C06807","N"
7,429.2338,23607.8626,11272.3488,12068.5442,11381.4248,14064.9957,8808.9249,9105.4382,9026,"Unknown","2751-68-0","C23H29N3O2S1-[M+NH4+]-{m+0}(0.97087)(Niso-1)","Unknown","Acetophenazine","C06807","N"
8,429.2362,2433.9953,2073.7377,2624.4974,1514.1688,3824.5871,0,1859.0732,"Unknown","LMGP02010104","Unknown","C17H34N1O8P1-[M+NH4+]-{m+0}(0.98399)(Niso-1)","Unknown","1,2-dihexanoyl-sn-glycero-3-phosphoethanolamine","Unknown","N"
9,429.2363,0,0,2202.5821,1375.0978,2782.1955,0,1385.2583,"Unknown","LMGP02010104","Unknown","C17H34N1O8P1-[M+NH4+]-{m+0}(0.98399)(Niso-1)","Unknown","1,2-dihexanoyl-sn-glycero-3-phosphoethanolamine","Unknown","N"
10,429.2412,1761112.538,885198.5636,988675.7691,892477.7486,1171738.614,792103.9155,666268.8205,"12073949;12073949;3080612,6464,Unknown;10355;9672","Unknown;Unknown;Unknown,Unknown,LMST04010146;Unknown;Unknown","Unknown;Unknown;5130-29-0,117-81-7,Unknown;62-90-8;138402-11-6","C24H37O4-[M+K+]-2H-1-{m+0}(0.97518)(Niso-4);C24H37O4-[M+K+]-{m+0}(0.96945)(Niso-2);C24H38O4-[M+K+]-{m+0}(0.96942)(Niso-2);C27H34O3-[M+Na+]-{m+0}(0.96019)(Niso-1);C25H28N6O1-[M+H+]-{m+0}(0.95997)(Niso-1)","HMDB12866;HMDB12866;HMDB00328,Unknown,Unknown;Unknown;Unknown","9'-Carboxy-alpha-chromanol*;*9'-Carboxy-alpha-chromanol*;*12-Ketodeoxycholic acid*,*Bis(2-ethylhexyl)phthalate*,*3alpha-Hydroxy-6-oxo-5beta-cholan-24-oic Acid*;*Nandrolonephenpropionate*;*Irbesartan","Unknown;Unknown;Unknown,C03690,Unknown;C08155;C07469","2H_1"
