ID,Name,Accession,MW,Formula,Remarks,Group_name,exp_id
B_152-54,B,N/A,9,B,,152-54,1
Na_152-54,Na,N/A,23,Na,,152-54,1
Mg_152-54,Mg,N/A,24,Mg,,152-54,1
P_152-54,P,N/A,31,P,,152-54,1
K_152-54,K,N/A,39,K,,152-54,1
Ca_152-54,Ca,N/A,44,Ca,,152-54,1
Mn_152-54,Mn,N/A,55,Mn,,152-54,1
Fe_152-54,Fe,N/A,56,Fe,,152-54,1
Co_152-54,Co,N/A,59,Co,,152-54,1
Ni_152-54,Ni,N/A,60,Ni,,152-54,1
Cu_152-54,Cu,N/A,65,Cu,,152-54,1
Zn_152-54,Zn,N/A,66,Zn,,152-54,1
As_152-54,As,N/A,75,As,,152-54,1
Se_152-54,Se,N/A,82,Se,,152-54,1
Mo_152-54,Mo,N/A,95,Mo,,152-54,1
Cd_152-54,Cd,N/A,111,Cd,,152-54,1
Li_fpt2,Li,N/A,7,Li,,fpt2,1
B_fpt2,B,N/A,9,B,,fpt2,1
Na_fpt2,Na,N/A,23,Na,,fpt2,1
Mg_fpt2,Mg,N/A,24,Mg,,fpt2,1
P_fpt2,P,N/A,31,P,,fpt2,1
K_fpt2,K,N/A,39,K,,fpt2,1
Ca_fpt2,Ca,N/A,44,Ca,,fpt2,1
Mn_fpt2,Mn,N/A,55,Mn,,fpt2,1
Fe_fpt2,Fe,N/A,56,Fe,,fpt2,1
Co_fpt2,Co,N/A,59,Co,,fpt2,1
Ni_fpt2,Ni,N/A,60,Ni,,fpt2,1
Cu_fpt2,Cu,N/A,65,Cu,,fpt2,1
Zn_fpt2,Zn,N/A,66,Zn,,fpt2,1
As_fpt2,As,N/A,75,As,,fpt2,1
Se_fpt2,Se,N/A,82,Se,,fpt2,1
Mo_fpt2,Mo,N/A,95,Mo,,fpt2,1
Cd_fpt2,Cd,N/A,111,Cd,,fpt2,1
Li_ler2,Li,N/A,7,Li,,ler2,1
B_ler2,B,N/A,9,B,,ler2,1
Na_ler2,Na,N/A,23,Na,,ler2,1
Mg_ler2,Mg,N/A,24,Mg,,ler2,1
P_ler2,P,N/A,31,P,,ler2,1
K_ler2,K,N/A,39,K,,ler2,1
Ca_ler2,Ca,N/A,44,Ca,,ler2,1
Mn_ler2,Mn,N/A,55,Mn,,ler2,1
Fe_ler2,Fe,N/A,56,Fe,,ler2,1
Co_ler2,Co,N/A,59,Co,,ler2,1
Ni_ler2,Ni,N/A,60,Ni,,ler2,1
Cu_ler2,Cu,N/A,65,Cu,,ler2,1
Zn_ler2,Zn,N/A,66,Zn,,ler2,1
As_ler2,As,N/A,75,As,,ler2,1
Se_ler2,Se,N/A,82,Se,,ler2,1
Mo_ler2,Mo,N/A,95,Mo,,ler2,1
Cd_ler2,Cd,N/A,111,Cd,,ler2,1
Co_col0,Co,N/A,59,Co,,col0,1
Cd_col0,Cd,N/A,111,Cd,,col0,1
Mg_col0,Mg,N/A,24,Mg,,col0,1
P_col0,P,N/A,31,P,,col0,1
K_col0,K,N/A,39,K,,col0,1
Ca_col0,Ca,N/A,44,Ca,,col0,1
Na_col0,Na,N/A,23,Na,,col0,1
Fe_col0,Fe,N/A,56,Fe,,col0,1
B_col0,B,N/A,9,B,,col0,1
